customer_id,month,units_consumed,peak_load_kw,is_anomaly
CUST001,2023-02,320.22,2.6,0
CUST002,2023-02,32.68,0.79,1
CUST003,2023-02,268.62,3.35,0
CUST004,2023-02,385.77,2.03,0
CUST005,2023-02,341.17,4.41,0
CUST006,2023-02,362.61,3.67,0
CUST007,2023-02,307.01,2.54,0
CUST008,2023-02,31.02,0.13,1
CUST009,2023-02,359.71,2.86,0
CUST010,2023-02,309.07,2.71,0
CUST011,2023-02,284.62,2.7,0
CUST012,2023-02,282.73,4.26,0
CUST013,2023-02,204.34,2.92,0
CUST014,2023-02,256.93,3.51,0
CUST015,2023-02,23.4,0.22,1
CUST016,2023-02,12.04,0.28,1
CUST017,2023-02,400.42,2.64,0
CUST018,2023-02,437.08,2.1,0
CUST019,2023-02,342.12,3.45,0
CUST020,2023-02,251.87,1.07,0
CUST021,2023-02,249.94,3.39,0
CUST022,2023-02,281.92,3.29,0
CUST023,2023-02,358.47,2.65,0
CUST024,2023-02,291.95,2.92,0
CUST025,2023-02,325.54,3.42,0
CUST026,2023-02,348.09,3.1,0
CUST027,2023-02,295.37,2.75,0
CUST028,2023-02,296.02,2.97,0
CUST029,2023-02,354.2,3.6,0
CUST030,2023-02,241.74,3.56,0
CUST031,2023-02,302.47,3.46,0
CUST032,2023-02,321.29,3.22,0
CUST033,2023-02,365.68,3.66,0
CUST034,2023-02,324.79,3.12,0
CUST035,2023-02,47.78,0.5,1
CUST036,2023-02,321.86,2.13,0
CUST037,2023-02,381.66,3.5,0
CUST038,2023-02,272.47,2.83,0
CUST039,2023-02,344.34,2.49,0
CUST040,2023-02,303.73,2.66,0
CUST041,2023-02,8.78,0.59,1
CUST042,2023-02,283.41,1.85,0
CUST043,2023-02,257.67,3.6,0
CUST044,2023-02,338.08,2.69,0
CUST045,2023-02,290.41,2.91,0
CUST046,2023-02,371.95,3.07,0
CUST047,2023-02,322.47,3.12,0
CUST048,2023-02,281.69,3.16,0
CUST049,2023-02,401.34,3.85,0
CUST050,2023-02,349.12,3.85,0
