customer_id,month,units_consumed,peak_load_kw,is_anomaly
CUST001,2023-03,240.03,1.78,0
CUST002,2023-03,31.26,0.15,1
CUST003,2023-03,373.37,3.3,0
CUST004,2023-03,269.84,2.89,0
CUST005,2023-03,344.9,2.55,0
CUST006,2023-03,48.65,0.69,1
CUST007,2023-03,42.72,0.43,1
CUST008,2023-03,23.67,0.29,1
CUST009,2023-03,301.67,2.96,0
CUST010,2023-03,242.35,3.21,0
CUST011,2023-03,301.84,2.62,0
CUST012,2023-03,294.16,3.81,0
CUST013,2023-03,360.99,4.56,0
CUST014,2023-03,316.7,3.73,0
CUST015,2023-03,36.68,0.25,1
CUST016,2023-03,300.16,1.8,0
CUST017,2023-03,308.06,3.77,0
CUST018,2023-03,22.84,0.54,1
CUST019,2023-03,213.16,3.18,0
CUST020,2023-03,193.95,2.55,0
CUST021,2023-03,290.13,2.43,0
CUST022,2023-03,325.52,2.66,0
CUST023,2023-03,249.7,2.64,0
CUST024,2023-03,236.38,3.99,0
CUST025,2023-03,271.43,2.88,0
CUST026,2023-03,353.43,2.56,0
CUST027,2023-03,217.19,2.65,0
CUST028,2023-03,374.78,3.38,0
CUST029,2023-03,487.53,2.65,0
CUST030,2023-03,225.78,2.2,0
CUST031,2023-03,235.22,4.11,0
CUST032,2023-03,344.0,2.78,0
CUST033,2023-03,392.32,2.42,0
CUST034,2023-03,214.74,4.04,0
CUST035,2023-03,21.02,0.79,1
CUST036,2023-03,246.96,2.53,0
CUST037,2023-03,244.46,2.77,0
CUST038,2023-03,312.02,2.61,0
CUST039,2023-03,293.82,2.96,0
CUST040,2023-03,327.51,2.33,0
CUST041,2023-03,283.99,2.08,0
CUST042,2023-03,220.07,2.86,0
CUST043,2023-03,282.08,2.6,0
CUST044,2023-03,268.83,2.45,0
CUST045,2023-03,333.01,3.08,0
CUST046,2023-03,369.74,1.53,0
CUST047,2023-03,322.76,3.0,0
CUST048,2023-03,299.66,3.66,0
CUST049,2023-03,304.52,2.63,0
CUST050,2023-03,307.09,3.77,0
