customer_id,month,units_consumed,peak_load_kw,is_anomaly
CUST001,2023-01,320.69,3.78,0
CUST002,2023-01,281.27,4.02,0
CUST003,2023-01,292.8,2.63,0
CUST004,2023-01,254.7,1.97,0
CUST005,2023-01,258.79,2.12,0
CUST006,2023-01,25.52,0.65,1
CUST007,2023-01,13.99,0.46,1
CUST008,2023-01,31.66,0.13,1
CUST009,2023-01,253.72,2.61,0
CUST010,2023-01,325.48,2.68,0
CUST011,2023-01,304.5,2.52,0
CUST012,2023-01,239.5,3.42,0
CUST013,2023-01,285.18,2.04,0
CUST014,2023-01,308.68,2.64,0
CUST015,2023-01,304.65,2.85,0
CUST016,2023-01,379.49,2.49,0
CUST017,2023-01,345.83,2.7,0
CUST018,2023-01,208.8,3.81,0
CUST019,2023-01,326.51,2.99,0
CUST020,2023-01,364.21,3.45,0
CUST021,2023-01,193.67,2.95,0
CUST022,2023-01,244.96,3.0,0
CUST023,2023-01,358.35,2.45,0
CUST024,2023-01,355.63,2.89,0
CUST025,2023-01,333.91,2.55,0
CUST026,2023-01,236.49,3.23,0
CUST027,2023-01,293.22,2.17,0
CUST028,2023-01,258.8,3.04,0
CUST029,2023-01,399.55,3.11,0
CUST030,2023-01,203.27,3.77,0
CUST031,2023-01,299.43,2.63,0
CUST032,2023-01,379.7,3.12,0
CUST033,2023-01,328.08,3.95,0
CUST034,2023-01,233.48,2.9,0
CUST035,2023-01,224.52,2.61,0
CUST036,2023-01,300.53,2.51,0
CUST037,2023-01,303.75,3.51,0
CUST038,2023-01,225.16,3.36,0
CUST039,2023-01,198.54,3.35,0
CUST040,2023-01,322.92,2.73,0
CUST041,2023-01,293.22,4.08,0
CUST042,2023-01,260.13,2.75,0
CUST043,2023-01,333.31,3.61,0
CUST044,2023-01,398.01,2.65,0
CUST045,2023-01,231.05,3.06,0
CUST046,2023-01,338.65,3.44,0
CUST047,2023-01,368.37,3.06,0
CUST048,2023-01,260.93,3.1,0
CUST049,2023-01,321.48,2.12,0
CUST050,2023-01,303.37,2.73,0
