customer_id,month,units_consumed,peak_load_kw,is_anomaly
CUST001,2023-04,333.78,3.48,0
CUST002,2023-04,167.85,1.96,0
CUST003,2023-04,351.21,3.1,0
CUST004,2023-04,275.14,3.35,0
CUST005,2023-04,260.38,3.04,0
CUST006,2023-04,32.9,0.47,1
CUST007,2023-04,45.23,0.65,1
CUST008,2023-04,11.83,0.32,1
CUST009,2023-04,315.83,2.89,0
CUST010,2023-04,333.96,3.37,0
CUST011,2023-04,257.14,2.89,0
CUST012,2023-04,310.18,3.84,0
CUST013,2023-04,376.98,2.24,0
CUST014,2023-04,255.95,3.31,0
CUST015,2023-04,280.23,4.26,0
CUST016,2023-04,327.24,3.31,0
CUST017,2023-04,274.62,4.34,0
CUST018,2023-04,364.32,2.47,0
CUST019,2023-04,335.61,2.61,0
CUST020,2023-04,279.29,2.0,0
CUST021,2023-04,343.36,1.97,0
CUST022,2023-04,333.28,2.42,0
CUST023,2023-04,279.53,1.64,0
CUST024,2023-04,309.34,4.26,0
CUST025,2023-04,253.36,4.3,0
CUST026,2023-04,299.97,3.06,0
CUST027,2023-04,254.91,2.82,0
CUST028,2023-04,267.55,3.32,0
CUST029,2023-04,200.2,3.0,0
CUST030,2023-04,271.72,2.06,0
CUST031,2023-04,297.04,3.85,0
CUST032,2023-04,302.21,2.88,0
CUST033,2023-04,260.28,2.77,0
CUST034,2023-04,348.88,3.17,0
CUST035,2023-04,264.42,3.2,0
CUST036,2023-04,278.77,3.41,0
CUST037,2023-04,305.33,2.23,0
CUST038,2023-04,240.35,2.89,0
CUST039,2023-04,246.8,3.08,0
CUST040,2023-04,284.73,3.31,0
CUST041,2023-04,45.25,0.66,1
CUST042,2023-04,280.11,2.64,0
CUST043,2023-04,254.89,3.03,0
CUST044,2023-04,311.35,2.5,0
CUST045,2023-04,280.44,2.69,0
CUST046,2023-04,365.64,3.42,0
CUST047,2023-04,413.7,1.7,0
CUST048,2023-04,269.54,3.04,0
CUST049,2023-04,286.68,2.27,0
CUST050,2023-04,213.29,2.83,0
